Method,MAE,RMSE,Accuracy,AUC,Sensitivity,Specificity,PPV,NPV,Time (s),Avg KS Stat,Avg KS p-value,MAE Rank,RMSE Rank,Time (s) Rank,Avg KS Stat Rank,Accuracy Rank,AUC Rank,Sensitivity Rank,Specificity Rank,PPV Rank,NPV Rank,Avg KS p-value Rank,Average Rank
MICE,0.6575674117507356,1.0241573253961287,0.5127035220071849,0.6365547482742381,0.40669527269326694,0.8664142238552092,0.4454548465391383,0.8620939295483939,73.40048122406006,0.1710960345251925,0.387697949419434,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6363636363636365
SoftImpute,0.7908364463005036,1.0465856381126246,0.4775006620235138,0.6234324626659815,0.3870700831044028,0.8597948422275604,0.43770222082842775,0.8539471933536528,0.04489302635192871,0.38919781030401024,0.0058659903773145205,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.1818181818181817
Bayesian PCA,0.7985649336117387,1.013487844590195,0.3986402115337995,0.5699451713800606,0.29912821994914823,0.840762122810973,0.34764770418677476,0.8393522907697394,0.6341433525085449,0.47947027193138536,0.0009420901351057752,3.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.090909090909091
DAE,0.8123556367079139,1.025756310209395,0.38929494135157927,0.5590111112751114,0.2820328715278575,0.8359893510223652,0.31453790117510466,0.8351389487263016,0.7000532150268555,0.48297421217742875,0.00021833775174196315,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.181818181818182
KNN,0.9722238584249395,1.237068023321911,0.33347170427872536,0.523373563748761,0.23277858922961428,0.8139685382679078,0.25313257609179923,0.8132998218291124,0.14152836799621582,0.40449137166077753,0.006183334587517072,5.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.2727272727272725
VAE,1.0346284545468014,1.2414563543397192,0.22178023485894297,0.5000795212724005,0.20010629733285026,0.8000527452119507,0.045917587385929416,0.6466639597207885,8.944562435150146,0.5924945937347169,6.423080065910754e-06,6.0,6.0,5.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,6.2727272727272725
Da XU DL,1.8120337586439865,2.257057423291958,0.31294756387527023,0.4999503066278853,0.2000025092709223,0.7998981039848484,0.06352359781298442,0.6679372715912368,16.098936319351196,0.6862160626688124,0.0017979597397417722,7.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,4.0,6.363636363636363
