Method,MAE,RMSE,Accuracy,AUC,Sensitivity,Specificity,PPV,NPV,QWK,Within1_Accuracy,Time (s),Avg KS Stat,Avg KS p-value,MAE Rank,RMSE Rank,Time (s) Rank,Avg KS Stat Rank,Accuracy Rank,AUC Rank,Sensitivity Rank,Specificity Rank,PPV Rank,NPV Rank,Avg KS p-value Rank,QWK Rank,Within1_Accuracy Rank,Average Rank
MICE,0.6565781383623449,1.0247142401609357,0.5143193164164664,0.6314876482671056,0.40767944178587723,0.8667107999439526,0.4512549899350569,0.8625507703717985,0.5855934405614603,0.8649846328876428,253.56781482696533,0.1710960345251925,0.387697949419434,1.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.7692307692307692
SoftImpute,0.7886117201604032,1.0453209560901557,0.4805841089447176,0.6198925177104407,0.3891820610265683,0.8609574108708145,0.43726805553155534,0.8549921732441734,0.5632935950994878,0.86556932250846,0.048345327377319336,0.38919781030401024,0.0058659903773145205,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.1538461538461537
Bayesian PCA,0.7966798882462103,1.0135819142169906,0.4035369687898995,0.5664926541863773,0.30199015537446594,0.8418349817817817,0.3595810657788479,0.8397753260154931,0.43864063341497983,0.864782730785893,0.5280120372772217,0.4889672204691939,0.00018319745911255775,4.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0,4.0,3.4615384615384617
DAE,0.7919339795337135,1.0064338746373829,0.4019351391299917,0.5605863551430637,0.2914621507871083,0.8396991246707983,0.3324931411835006,0.8384210186471007,0.42998571303051397,0.8676929801454182,0.6921126842498779,0.47777741313298033,0.00027180731242247574,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,1.0,3.5384615384615383
KNN,0.9732859388761557,1.2379523947821691,0.3327609125207308,0.5166927832062584,0.22923559260021217,0.8133273694898135,0.25165903061501094,0.8125993253504437,0.16729234827277945,0.7757166862351348,0.1438741683959961,0.40449137166077753,0.006183334587517072,5.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,4.384615384615385
Da XU DL,1.8123670513743668,2.2567007551649794,0.3125453064134884,0.49568085078662366,0.20044964802710769,0.8000029626370488,0.06345335948371676,0.6655661558485901,-0.00033228284510494803,0.4579087448360583,16.789905786514282,0.6862160626688124,0.0017979597397417722,7.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,4.0,7.0,7.0,6.3076923076923075
VAE,1.034769321911493,1.241465290404455,0.21951137423175987,0.49552810751214,0.2000372961593544,0.8000725509906679,0.04621190979118263,0.6464467917414222,0.00028591637667220926,0.760106897332995,9.22487187385559,0.5926285716989433,6.2910215365189176e-06,6.0,6.0,5.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.384615384615385
