Method,MAE,RMSE,Time (s),Avg KS Stat,Avg KS p-value,MAE Rank,RMSE Rank,Time (s) Rank,Avg KS Stat Rank,Average Rank
VAE,0.8003404672964004,1.0381050433920207,29.149770498275757,0.3496776976292879,6.859114257661808e-41,3.0,3.0,3.0,1.0,2.5
DAE,0.8490729735871627,1.0526544606133328,6.040616273880005,0.5855788394908309,3.18905159216955e-197,2.0,2.0,2.0,4.0,2.5
Da XU DL,1.6039953524348123,2.062423911094515,45.719990253448486,0.6942183076972309,4.6679692304634365e-97,1.0,1.0,4.0,5.0,2.75
Bayesian PCA,0.7963321253593804,0.9923718387171545,0.5755119323730469,0.5519586939879845,6.449567893866431e-119,4.0,5.0,1.0,3.0,3.25
MICE,0.6648954659285268,1.016015032500578,61.081443309783936,0.5066915003359217,1.1123917665368342e-101,5.0,4.0,5.0,2.0,4.0
