Method,MAE,RMSE,Accuracy,AUC,Sensitivity,Specificity,PPV,NPV,Time (s),Avg KS Stat,Avg KS p-value,MAE Rank,RMSE Rank,Time (s) Rank,Avg KS Stat Rank,Accuracy Rank,AUC Rank,Sensitivity Rank,Specificity Rank,PPV Rank,NPV Rank,Avg KS p-value Rank,Average Rank
MICE,0.6545737017823653,1.020614419619661,0.5132664482772517,0.6347533137995212,0.4031178546337077,0.8663887729653345,0.44781642957901885,0.8624207338520641,317.39351987838745,0.07781396036899285,0.1854513846290281,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5454545454545454
SoftImpute,0.8069717389077278,1.0691172572022218,0.478969795902402,0.6250233447931297,0.38986954705861093,0.8601771425276483,0.4325548587596283,0.8544078154891362,0.05789756774902344,0.4890415509642356,9.612603493116303e-22,2.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.272727272727273
Bayesian PCA,0.8075367736347344,1.0216889288852418,0.3932440376187252,0.5646174567832513,0.28997680729162295,0.8392581062748795,0.338443556846024,0.838007651669291,0.5675382614135742,0.5767110072112156,1.258295152330373e-62,3.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.272727272727273
DAE,0.8282504811815696,1.0297434450243903,0.36565817948988283,0.550590915608242,0.26995264865097834,0.8312291825655057,0.30676981655513214,0.8328762680907598,1.1849992275238037,0.5753449619575165,1.3244313435280805e-66,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.090909090909091
KNN,0.9893999794414792,1.2559846343036625,0.3269703394551681,0.51949228252452,0.22715453245547865,0.8118300325935612,0.25625938508656587,0.8113895903604244,0.5525345802307129,0.4045143618957997,2.7636468255989734e-34,5.0,6.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.454545454545454
Da XU DL,1.8151172111609728,2.259975453030263,0.3132883174665721,0.5001696070782489,0.20026253638751737,0.8000766777689801,0.06486385475819378,0.670842284007143,28.60084080696106,0.669599302056704,2.93772887884968e-17,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,5.909090909090909
VAE,1.0342280744598495,1.2420398669462727,0.22809130750985135,0.5001398319324787,0.20022465961381805,0.8000550042511393,0.04688043536111397,0.6492718076347295,13.18242359161377,0.5912138796465739,2.4809061403075626e-81,6.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.454545454545454
