Method,MAE,RMSE,Accuracy,AUC,Sensitivity,Specificity,PPV,NPV,Time (s),Avg KS Stat,Avg KS p-value,MAE Rank,RMSE Rank,Time (s) Rank,Avg KS Stat Rank,Accuracy Rank,AUC Rank,Sensitivity Rank,Specificity Rank,PPV Rank,NPV Rank,Avg KS p-value Rank,Average Rank
Gemma,0.6964868133439815,1.1706926346525697,0.5579128689066922,0.6313690484272865,0.403115274498052,0.8596228223565212,0.43502169330612345,0.8752037603514062,8707.853988170624,0.2165642264085554,0.1839706732652178,1.0,6.0,7.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.727272727272727
MICE,0.7057800837060486,1.0898231847450262,0.4973624331836264,0.6245298591035254,0.3898139140986114,0.8592458041084399,0.4114086255408027,0.8567440958225089,351.7078552246094,0.11573502374436985,0.47977469456636046,3.0,3.0,6.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0
SoftImpute,0.7600497805370514,1.0158018939550553,0.48705025647840033,0.6237509645276499,0.38621794530725945,0.86128398374804,0.4388188829569361,0.8557380405455164,0.08529138565063477,0.34361039139138666,0.0014828937183251052,5.0,2.0,1.0,6.0,5.0,4.0,4.0,1.0,1.0,5.0,6.0,3.6363636363636362
MedGemma,0.7041643267547048,1.1829653038774681,0.5580540948103219,0.628097348043183,0.39896063662066555,0.8572340594657003,0.4248861213969282,0.8709375278482875,14006.870638370514,0.28862340668435915,0.10183356818187614,2.0,7.0,8.0,5.0,1.0,2.0,2.0,5.0,3.0,2.0,5.0,3.8181818181818183
Longitudinal MICE,0.7094404320932602,1.0948976356538231,0.4953622161535606,0.6221270130714536,0.38605412673402056,0.8581998994088867,0.4066346506629204,0.8558067204405422,347.18271231651306,0.1160144579427313,0.4536601933023624,4.0,4.0,5.0,2.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,4.0
Bayesian PCA,0.7837428849435771,0.9966253249338277,0.4051683519634204,0.568555652585036,0.2954979860277448,0.8416133191423274,0.37004560260505404,0.840174651123353,4.71749210357666,0.4784602467519335,2.4938230531897344e-06,6.0,1.0,2.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,5.363636363636363
TimesFM,0.9242775432246563,1.3090323465890839,0.3875047744433324,0.5575089100735483,0.2850100717639913,0.8300077483831054,0.3188314945228098,0.8264233891383184,64.80613374710083,0.18971019318154933,0.10643163535205225,8.0,8.0,4.0,3.0,7.0,7.0,7.0,7.0,7.0,8.0,4.0,6.363636363636363
LSTM,0.9135009693530696,1.1132957793423235,0.29705365924584387,0.5177873466483734,0.2217798171446434,0.8137948761521034,0.16220697454011304,0.831394619147822,10.536731243133545,0.5399516696853062,1.0809447453210769e-07,7.0,5.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.090909090909091
