Method,MAE,RMSE,Accuracy,AUC,Sensitivity,Specificity,PPV,NPV,Time (s),Avg KS Stat,Avg KS p-value,MAE Rank,RMSE Rank,Time (s) Rank,Avg KS Stat Rank,Accuracy Rank,AUC Rank,Sensitivity Rank,Specificity Rank,PPV Rank,NPV Rank,Avg KS p-value Rank,Average Rank
MICE,0.6635264462511496,1.0345952595545842,0.5135402464417063,0.6339175647249506,0.4034427929962896,0.8643923364536116,0.4313698426480936,0.8615693549385257,371.3361191749573,0.1079287143366921,0.5097790929196178,1.0,4.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0
SoftImpute,0.747939821141388,0.9969555608839397,0.5002331158257262,0.6337194244345784,0.40250463601235603,0.8649342128568007,0.4534355155599701,0.8593030429566919,0.25998568534851074,0.3924881039856741,9.198955604826864e-05,3.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.090909090909091
DAE,0.7355091641258761,0.9447689844457262,0.4431471031453458,0.5809927997130261,0.31260261786331345,0.849382981562739,0.3833605249616608,0.8484373465127051,1.3200409412384033,0.48934122478096787,4.7196502237938786e-07,2.0,1.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,3.272727272727273
Bayesian PCA,0.7658093457323014,0.9773828052258517,0.41948361833457193,0.5752527283817351,0.30558170234550563,0.8449237544179647,0.3730502921805253,0.8431040652216807,0.6145508289337158,0.48930165067221376,6.037561535885716e-07,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.8181818181818183
KNN,0.8260287255534908,1.0923662544559185,0.4070605665731913,0.552090811988537,0.2716545932011747,0.8325270307758996,0.33115497208265166,0.8310502208039395,0.4194366931915283,0.3749191215919856,0.002196435252588898,5.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.181818181818182
Da Xu DL,1.767065477454401,2.203712707340529,0.31655368402993467,0.5,0.2,0.8,0.06331073680598694,0.663310736805987,42.62484812736511,0.6834677062056266,1.2626632522437982e-06,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.090909090909091
VAE,0.9972111113145099,1.2059533919457561,0.23193080711043165,0.4999940592581368,0.19999959013211113,0.7999885283841623,0.0469245201178934,0.6471939193529967,18.180651664733887,0.5886171102724664,9.56035589790397e-13,6.0,6.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.545454545454546
