Method,MAE,RMSE,Accuracy,AUC,Sensitivity,Specificity,PPV,NPV,Time (s),Avg KS Stat,Avg KS p-value,MAE Rank,RMSE Rank,Time (s) Rank,Avg KS Stat Rank,Accuracy Rank,AUC Rank,Sensitivity Rank,Specificity Rank,PPV Rank,NPV Rank,Avg KS p-value Rank,Average Rank
Gemma,0.6965025483257813,1.1694790155108319,0.5576638098394749,0.6314543160744295,0.4031534276089025,0.8597552045399564,0.43502904295015543,0.8752544407208516,8605.6555352211,0.21752091322617978,0.10731896111448741,1.0,6.0,6.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,2.6363636363636362
MICE,0.7057800837060486,1.0898231847450262,0.4973624331836264,0.6245298591035254,0.3898139140986114,0.8592458041084399,0.4114086255408027,0.8567440958225089,319.6893332004547,0.11573502374436985,0.47977469456636046,3.0,3.0,5.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,2.909090909090909
SoftImpute,0.7600497805370514,1.0158018939550553,0.48705025647840033,0.6237509645276499,0.38621794530725945,0.86128398374804,0.4388188829569361,0.8557380405455164,0.08594608306884766,0.34361039139138666,0.0014828937183251052,5.0,2.0,1.0,5.0,5.0,4.0,4.0,1.0,1.0,5.0,5.0,3.4545454545454546
MedGemma,0.7039320775320828,1.1828742337102167,0.5585593085377285,0.62811621559914,0.39914785552769855,0.8570845756705817,0.43142654519769325,0.870903076900567,13783.96824145317,0.28697342404344717,0.12355092690054477,2.0,7.0,7.0,4.0,1.0,2.0,2.0,5.0,3.0,2.0,3.0,3.4545454545454546
Longitudinal MICE,0.7094404320932602,1.0948976356538231,0.4953622161535606,0.6221270130714536,0.38605412673402056,0.8581998994088867,0.4066346506629204,0.8558067204405422,310.77526116371155,0.1160144579427313,0.4536601933023624,4.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,3.909090909090909
Bayesian PCA,0.7837428768472396,0.9966253021702821,0.4051856689859876,0.5685659971773125,0.2955143191950609,0.8416176751595641,0.3700564854713796,0.8401796929868347,4.888494968414307,0.47761995062452306,8.602004032170588e-07,6.0,1.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.181818181818182
LSTM,0.9146599798024477,1.1149431508074872,0.2975233863502007,0.5177653203206201,0.22170222095030762,0.8138284196909324,0.16388692345140582,0.8312335048605607,10.018723726272583,0.5452361183280997,1.1004645848940889e-07,7.0,5.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.454545454545454
