method,metric,mean,std,ci_lower,ci_upper,cv
MICE,mae,0.45781867271722215,0.01331229404114962,0.43039552250231033,0.48362373327014674,0.029077656361500434
MICE,rmse,0.8369971726570467,0.01588282251824443,0.8052653077197518,0.8666927006073986,0.01897595719209472
MICE,ks_stat,0.172844840198099,0.019469860202122997,0.13787176204122026,0.2125493698580863,0.11264357200254528
MICE,execution_time,31.579316707611085,5.827682613667724,25.4442077934742,45.7842034637928,0.18454112442094625
VAE,mae,1.0345560133870637,0.011592324873109145,1.011374634264969,1.057478763420597,0.011205120576465152
VAE,rmse,1.240996084302317,0.012837034591609474,1.2173741477639566,1.265023597108227,0.010344137869561775
VAE,ks_stat,0.5929745126912087,0.0037945392699992187,0.5849905705121986,0.59997040166166,0.0063991608219006605
VAE,execution_time,7.05141448378563,1.001038519603657,5.173679327964782,8.689605379104615,0.14196279652905022
DAE,mae,0.8188478839205098,0.011899867329613824,0.7965419430001122,0.8436342415246297,0.01453245170841647
DAE,rmse,1.0337897053138314,0.013468900324507729,1.0089356818105715,1.0614682851599502,0.013028665554779271
DAE,ks_stat,0.5076070466252318,0.00831039531450832,0.49140313234440386,0.5231915098237088,0.016371709907809683
DAE,execution_time,0.7746485495567321,0.08302686351023156,0.7061043560504914,0.9752374827861786,0.10718004126870312
Bayesian PCA,mae,0.805652548084033,0.011511476891582446,0.7818758730795887,0.827963743466937,0.014288388858148005
Bayesian PCA,rmse,1.0219399497155415,0.012833331904749593,0.9958841481507553,1.046229462617678,0.012557814094968858
Bayesian PCA,ks_stat,0.5035128747253697,0.008002389979053046,0.4873570773862146,0.5179053519795992,0.015893118886816507
Bayesian PCA,execution_time,0.22868146467208864,0.02767988575088463,0.19013715982437135,0.2748461961746215,0.12104122995090759
Da Xu DL,mae,1.809218750005563,0.01688866116809624,1.7757873507925115,1.84216830141615,0.009334781196604507
Da Xu DL,rmse,2.2542106948224445,0.016981213146015955,2.222964682959831,2.286557738089943,0.007533108233857217
Da Xu DL,ks_stat,0.6835189771472049,0.005590209248766622,0.6699353333816461,0.692464930244896,0.008178572118214497
Da Xu DL,execution_time,38.10304163718224,7.658195304719102,18.234788900613786,48.87240276932717,0.2009864560850695
SoftImpute,mae,0.7833759132630352,0.012868420765399005,0.7583911882747892,0.810078525967062,0.01642687826818356
SoftImpute,rmse,1.0356625964615032,0.01672838581714695,1.0054961177173467,1.0714474943055832,0.016152351040099346
SoftImpute,ks_stat,0.36141360969618347,0.019026462917991982,0.3257972649453517,0.400154787295922,0.052644566799756855
SoftImpute,execution_time,0.11040113449096679,0.03967464869577112,0.08274474740028381,0.22806861400604247,0.3593681249626775
KNN,mae,0.8692363384069166,0.012616276344782353,0.8433073179090865,0.8920589788739625,0.014514207226891476
KNN,rmse,1.1444673859260033,0.013657993383319971,1.1176199967100018,1.1694631171354768,0.011933929748700627
KNN,ks_stat,0.3676580050374225,0.012518847370793059,0.3421491907188743,0.39287756410855373,0.03405025104653661
KNN,execution_time,0.28165849137306215,0.03433702709207409,0.26231391429901124,0.4067737698554993,0.12191014346730286
