method,variable,bias,rmse,mae
Bayesian PCA,a_act11,-0.0021422878510129182,0.95635977371896,0.7601437140002802
Bayesian PCA,a_c2,0.014491980574154385,1.2012169549095995,1.0045479335794245
Bayesian PCA,a_c6,-0.009151910471798218,1.0902975493307316,0.8878295567374609
Bayesian PCA,a_e1,0.005136797437413747,1.1544672169028873,0.9706382539858045
Bayesian PCA,a_e2,-0.0009430630118914792,0.9748548080159352,0.7688705415682265
Bayesian PCA,a_e3,-0.003091601792769849,0.8406505373133264,0.631427634293521
Bayesian PCA,a_e4,-0.01605337945049563,0.9754340376392814,0.780216764604134
Bayesian PCA,a_e5,-0.0004521589839134307,0.9465682579464797,0.7302462760248211
Bayesian PCA,a_e6,0.00794131796476598,1.0971102417872014,0.8940738732853825
Bayesian PCA,a_e7,0.003312296667039723,0.9816602355792852,0.7573701515630497
Bayesian PCA,a_hn1,0.009864061913206174,1.0235951607566285,0.8474628559461116
Bayesian PCA,a_hn10,0.006867874570228349,0.80952514407273,0.595997256744447
Bayesian PCA,a_hn2,0.002535041130075336,1.1657912352181812,0.9791444839883348
Bayesian PCA,a_hn3,-0.0027043368832809903,0.8698859694655096,0.6630139308273489
Bayesian PCA,a_hn4,0.01421136173327614,1.3898580144935846,1.1404363084181994
Bayesian PCA,a_hn5,-0.0028183319085421637,1.0606799476260937,0.882309002123315
Bayesian PCA,a_hn7,0.010665851420731244,1.1421616585890162,0.9224368270417344
Bayesian PCA,ge1,-0.009331021768458646,0.7794275344410996,0.6443408000100715
Bayesian PCA,ge2,-0.006194330678887702,1.2161901512213227,0.9658671832582609
Bayesian PCA,ge3,-0.0065539127139979895,0.9391622137170246,0.6954981120985936
Bayesian PCA,ge4,-0.007631963630936117,0.9097937259215357,0.7484782023328455
Bayesian PCA,ge5,-0.014162671833179758,0.9144010035729712,0.7446033611353591
Bayesian PCA,ge6,-0.011409445396389334,0.9431548353875672,0.7719248836856375
Bayesian PCA,gf1,0.00018381933537366484,0.9482177726566894,0.7658898568305248
Bayesian PCA,gf2,0.016381500797240846,1.0539629434726816,0.841706321366461
