bootstrap_iter,method,mae,rmse,ks_stat,execution_time
0,MICE,0.46784255900886146,0.8399361387755804,0.1676694468687476,38.65460705757141
0,VAE,1.0229701281339896,1.2234514546020478,0.5876326240928161,10.122533321380615
0,DAE,0.8312036553510823,1.053436361158168,0.5015277635208508,0.7166728973388672
0,Bayesian PCA,0.8235970588844738,1.040818779994926,0.5149180630035737,0.2641737461090088
0,Da Xu DL,1.802688210014786,2.248885219525817,0.6842550492201599,48.85695791244507
0,SoftImpute,0.7947175446155469,1.0488447507079801,0.3541453358133053,0.08946704864501953
0,KNN,0.8842610470808722,1.162292801612352,0.3928747374778896,0.2678823471069336
1,MICE,0.46196941665835695,0.8393470244393181,0.179368153486869,39.83399772644043
1,VAE,1.0242564597909904,1.228727126195226,0.59541595821145,9.883455753326416
1,DAE,0.8011798704823605,1.0156643591316512,0.5132773517812157,0.9473757743835449
1,Bayesian PCA,0.791657931868146,1.0114734363759386,0.5060512023825987,0.28716325759887695
1,Da Xu DL,1.815042686180024,2.2590058459613718,0.6807092067979726,48.13044786453247
1,SoftImpute,0.780783532877109,1.0314752712634911,0.3656134199515632,0.08856678009033203
1,KNN,0.8776607812558909,1.1588496503354466,0.3580316267905706,0.3086428642272949
2,MICE,0.46173668233253334,0.8365206140011103,0.19019340565230614,33.85596537590027
2,VAE,1.0196193232024726,1.2247979093626387,0.5928936436753932,12.909496545791626
2,DAE,0.798837178018994,1.0124523681834745,0.511685228511054,0.7410686016082764
2,Bayesian PCA,0.7939157478003964,1.0122728573337927,0.5134516195894937,0.6542878150939941
2,Da Xu DL,1.7972075662838565,2.2414036911747264,0.682880624777268,49.444167375564575
2,SoftImpute,0.7690720552480269,1.0254209784597148,0.39304966558520965,0.09326553344726562
2,KNN,0.8446678995554187,1.1215850822618803,0.39083309306751024,0.27202653884887695
3,MICE,0.44564918539786347,0.8258651008799408,0.17451262380339685,38.21322560310364
3,VAE,1.004233036195876,1.2102584786511885,0.5951602155937686,10.221952676773071
3,DAE,0.8146240707544146,1.0234076000520103,0.516212552038414,0.7185201644897461
3,Bayesian PCA,0.7890989354941912,1.01280425039289,0.5070198111116905,0.27715086936950684
3,Da Xu DL,1.8044598241622494,2.2453816754805307,0.6832383255210618,48.87806940078735
3,SoftImpute,0.7745639349984939,1.0243467990723365,0.37603039718695447,0.08654117584228516
3,KNN,0.8571679881586245,1.1391535371146408,0.37548006564050007,0.2703237533569336
4,MICE,0.46258343518743145,0.8414483334767678,0.1940923632432928,32.174031257629395
4,VAE,1.0435108084187432,1.2470332927330654,0.5874840721071178,14.593534708023071
4,DAE,0.8195870409857224,1.038358991003295,0.5083825771234761,0.9562804698944092
4,Bayesian PCA,0.8230896414971468,1.0401601093824349,0.5059593789050821,0.42740893363952637
4,Da Xu DL,1.7956408213644481,2.251348389208391,0.6809065276111371,49.47013282775879
4,SoftImpute,0.7791687014388142,1.0332725115081203,0.38822801525066253,0.0879518985748291
4,KNN,0.8940130429200408,1.1740375919548671,0.3726469926851362,0.27423810958862305
5,MICE,0.46582006893656447,0.8426581585944564,0.17342055143883786,29.189432621002197
5,VAE,1.0311827788883559,1.239037078704545,0.595597562633075,6.338908433914185
5,DAE,0.8047282998740868,1.0157628174575182,0.5149206857352403,0.7322182655334473
5,Bayesian PCA,0.8099259522126726,1.0191757866522477,0.5086676488407433,0.2247772216796875
5,Da Xu DL,1.7884121511426623,2.233668096556105,0.6848181729725242,47.81645083427429
5,SoftImpute,0.7838716785078147,1.0382772993577627,0.3794175163004174,0.0939333438873291
5,KNN,0.8737209242899013,1.142959137522114,0.36236604996940996,0.2689635753631592
6,MICE,0.4535478376563491,0.8405611828680197,0.16358917352080504,30.23166823387146
6,VAE,1.015405518426628,1.2228078925589347,0.5866392262749178,6.476166009902954
6,DAE,0.8204266505330051,1.039424676484047,0.5159390316519887,0.7334990501403809
6,Bayesian PCA,0.795511125902016,1.0073245930463466,0.5037711029166171,0.22213506698608398
6,Da Xu DL,1.825075779990006,2.2621153088003556,0.6936106221862008,48.7042293548584
6,SoftImpute,0.7729587231307149,1.0228762175603077,0.3212430972780585,0.10962581634521484
6,KNN,0.8602112757471342,1.1393416265284235,0.370508590140703,0.2772202491760254
7,MICE,0.46555991756804005,0.838904915847206,0.1585845809500784,41.62841200828552
7,VAE,1.034359939631086,1.2380034257121693,0.5940610826306426,8.198683738708496
7,DAE,0.8226854158247271,1.031472718727738,0.4995117409572313,0.9260416030883789
7,Bayesian PCA,0.8053101236395463,1.0288047349877414,0.4902763131303169,0.2015526294708252
7,Da Xu DL,1.817346296276806,2.26519801053892,0.6875116159287114,42.18645787239075
7,SoftImpute,0.7866717258256134,1.0273483327169557,0.3822029546015651,0.08694195747375488
7,KNN,0.8683564299084882,1.1379564639517394,0.35600385724255496,0.27019596099853516
8,MICE,0.45794486284200475,0.8376168358905832,0.14627717865020656,32.03072953224182
