method,metric,mean,std,ci_lower,ci_upper
MICE,overall_bias,0.00200467439744647,0.04191495200064236,-0.080210992291477,0.08108802969724953
MICE,overall_rmse,0.9697022569117826,0.03987072757625517,0.8923334011449469,1.0535228141759592
MICE,execution_time,19.396595923423767,4.097505695496146,15.4376835167408,29.8504007935524
VAE,overall_bias,-0.001550009163527622,0.05341804578703762,-0.0999548386068238,0.11018195327078849
VAE,overall_rmse,1.1748507201623606,0.03414219475834248,1.1061346026443766,1.24082281669968
VAE,execution_time,2.505743745326996,0.32121508949981364,1.9170149981975555,3.1225062072277066
DAE,overall_bias,-0.0012891636371023102,0.04478699938831992,-0.0896176306646854,0.08601444224484832
DAE,overall_rmse,1.0044916301882287,0.034805213770560686,0.9380429322266238,1.0757826477198351
DAE,execution_time,0.31223523354530336,0.037992215622631845,0.28308806419372556,0.39520440101623533
Bayesian PCA,overall_bias,-0.00010646348363157621,0.04277776655981613,-0.08690778246137768,0.08429620165311229
Bayesian PCA,overall_rmse,0.9606176054050202,0.03359298075285739,0.8957230130144441,1.0326946747267172
Bayesian PCA,execution_time,0.1797068247795105,0.02286322607826996,0.14980003833770753,0.22260108590126038
Da Xu DL,overall_bias,-1.7956142853708734,0.052102546752807836,-1.893099045973297,-1.6886524966539502
Da Xu DL,overall_rmse,2.189130721571489,0.05360672566772278,2.081892977663464,2.2894694906411153
Da Xu DL,execution_time,11.952277025222779,2.9634737576417907,6.223785799741745,17.00575138926506
SoftImpute,overall_bias,-0.0009438432689905455,0.04389415517595249,-0.08749080626010243,0.08397687568574244
SoftImpute,overall_rmse,0.9940129598500895,0.03855884366493839,0.9212532055239507,1.0774779101882412
SoftImpute,execution_time,0.06331611275672913,0.046456474416660246,0.0404255211353302,0.20749412178993218
KNN,overall_bias,-0.005389197850196077,0.056583882717421104,-0.11151694217835764,0.10847644043072256
KNN,overall_rmse,1.2466275561402136,0.03806470629744652,1.1745354815035487,1.3198644072522092
KNN,execution_time,0.10405536866188049,0.022351470086759008,0.09543726444244385,0.19849295020103452
