Method,MAE,RMSE,Accuracy,AUC,Sensitivity,Specificity,PPV,NPV,Time (s),Avg KS Stat,Avg KS p-value,MAE Rank,RMSE Rank,Time (s) Rank,Avg KS Stat Rank,Accuracy Rank,AUC Rank,Sensitivity Rank,Specificity Rank,PPV Rank,NPV Rank,Avg KS p-value Rank,Average Rank
MICE,0.624452690605052,0.9970436658559747,0.5353675492684252,0.6533746394536356,0.4340557900825708,0.8726934888247007,0.4863073662513171,0.868621608970107,369.1057651042938,0.07691273280264117,0.07105562550704536,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5454545454545454
SoftImpute,0.8095651409632352,1.072677090614878,0.47939800328901905,0.6271831362031477,0.3939503733470022,0.8604158990592932,0.44226047270284563,0.8546137084252116,0.1731119155883789,0.5043933753337044,3.470091703082763e-67,2.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.5454545454545454
Bayesian PCA,0.8136150851780541,1.0289109587380199,0.387452724953647,0.5634425834323741,0.2894083096789843,0.8374768571857638,0.3462440664470369,0.8363568801026307,0.6331300735473633,0.5918668320825976,2.8852009725750113e-143,3.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,3.3636363636363638
DAE,0.8483509328761217,1.0662395713609971,0.3679741447625498,0.5444535553326374,0.26128197971844563,0.827625130946829,0.3071314402352815,0.8297700468669054,4.3969645500183105,0.5938790380031573,2.702774825083085e-138,4.0,3.0,3.0,6.0,4.0,4.0,5.0,4.0,5.0,4.0,6.0,4.363636363636363
VAE,0.8791501569914455,1.1073245288269358,0.3566150149628893,0.5438133193253064,0.26137026621021603,0.8262563724403966,0.24192982230798338,0.8236967550870986,28.24657154083252,0.45825952078662097,1.902160955471513e-40,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,6.0,5.0,3.0,4.636363636363637
KNN,0.9678374946177613,1.2371755411519032,0.337628981849393,0.5264953089961487,0.23754882627555832,0.8154417917167391,0.30807373136095867,0.8143224482608552,4.625267505645752,0.39351170458917456,1.5790299495644616e-43,6.0,6.0,4.0,2.0,6.0,6.0,6.0,6.0,4.0,6.0,4.0,5.090909090909091
Da XU DL,1.8204095650956291,2.2684094224876303,0.31219277172919324,0.4998679430797557,0.1997128763679104,0.8000230097916008,0.06537227940715572,0.6730169833307054,68.42453718185425,0.6718782650695596,1.2638488280011355e-21,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,6.454545454545454
