Method,MAE,RMSE,Accuracy,AUC,Sensitivity,Specificity,PPV,NPV,Time (s),Avg KS Stat,Avg KS p-value,MAE Rank,RMSE Rank,Time (s) Rank,Avg KS Stat Rank,Accuracy Rank,AUC Rank,Sensitivity Rank,Specificity Rank,PPV Rank,NPV Rank,Avg KS p-value Rank,Average Rank
Longitudinal MICE,0.6629572278374515,1.032937376003345,0.5134075134839104,0.6343488141892031,0.40430821977004855,0.8643894086083577,0.43249064900851975,0.8614697599256136,400.79918479919434,0.1160144579427313,0.4536601933023624,1.0,3.0,6.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.090909090909091
MICE,0.6656290893940687,1.0371417842716257,0.5127874032053928,0.6341988310944213,0.4044431138445785,0.8639545483442638,0.43079436660906184,0.8612691775309821,390.0022964477539,0.11573502374436985,0.47977469456636046,2.0,4.0,5.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,2.3636363636363638
SoftImpute,0.7513533162072757,1.000979130513825,0.5001355874735689,0.6339106963677124,0.4027335382685595,0.8650878544668653,0.454054838486428,0.8593930405936394,0.07877349853515625,0.34361039139138666,0.0014828937183251052,3.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,2.3636363636363638
Bayesian PCA,0.7659527873553492,0.9789826181568874,0.4210483312990591,0.5762286525390502,0.30743059277516754,0.8450267123029327,0.38214177930276383,0.8428274558576779,4.5979859828948975,0.48647758235543836,3.3603257832233464e-07,4.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.727272727272727
LSTM,0.9786703331935813,1.1895430974739343,0.262473570742569,0.5037468939786888,0.20456306240851593,0.8029307255488618,0.13291399688424316,0.8100338134506542,4.430880784988403,0.5433279619676636,5.897104961260937e-08,5.0,5.0,2.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,4.909090909090909
Da Xu DL,1.7634468385867612,2.2001281036649134,0.316661608434573,0.5001383407624783,0.20019193593016205,0.8000847455947947,0.06391150976014134,0.6652799483647189,40.972747802734375,0.6830280727501756,1.1197625520886254e-06,6.0,6.0,4.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,5.545454545454546
