Method,MAE,RMSE,Accuracy,AUC,Sensitivity,Specificity,PPV,NPV,Time (s),Avg KS Stat,Avg KS p-value,MAE Rank,RMSE Rank,Time (s) Rank,Avg KS Stat Rank,Accuracy Rank,AUC Rank,Sensitivity Rank,Specificity Rank,PPV Rank,NPV Rank,Avg KS p-value Rank,Average Rank
MICE,0.6577946115904793,1.023235407195038,0.5122554430655537,0.6353244385452954,0.4044994438408911,0.8661494332496997,0.44608210106814666,0.8620490059116308,453.4567074775696,0.1710960345251925,0.387697949419434,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6363636363636365
SoftImpute,0.7923656598055502,1.0461661406768283,0.47615104977758915,0.6220480458822121,0.38480713147717177,0.8592889602872521,0.43669183352253266,0.8535367691620779,0.044007301330566406,0.38919781030401024,0.0058659903773145205,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.1818181818181817
Bayesian PCA,0.7992456153993782,1.016931205940256,0.4004441346685893,0.5702550789589448,0.29944304138587613,0.8410671165320134,0.34552588479218205,0.8389098268503864,0.5482733249664307,0.4922508499392615,0.00013123081401581678,3.0,1.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,3.272727272727273
DAE,0.8123300211868776,1.0247766390226232,0.39175025398576974,0.5609443544227556,0.28484668948703806,0.8370420193584731,0.32853870727134904,0.8359220693973469,0.6790623664855957,0.4879515146420564,0.0006350531530838094,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0
KNN,0.9706938942427206,1.2348957386641561,0.33309245817323135,0.5217364604956981,0.2297337139348637,0.8137392070565325,0.24744944508018873,0.8126815762032025,0.1351923942565918,0.40449137166077753,0.006183334587517072,5.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.2727272727272725
Da XU DL,1.8068788069782538,2.2530737629019124,0.31356272757230597,0.49986382308078614,0.19973131473734954,0.7999963314242227,0.06347031591235462,0.668762444553604,15.478949069976807,0.6799396622384445,0.0018304531726271438,7.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,4.0,6.181818181818182
VAE,1.03488270391726,1.2417014041554533,0.22132395408078934,0.4997939859040548,0.19975170288153773,0.7998362689265719,0.04502030701154738,0.6452075527912213,8.48619794845581,0.5912138796465739,6.423162381085127e-06,6.0,6.0,5.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,6.454545454545454
