Method,MAE,RMSE,Accuracy,AUC,Sensitivity,Specificity,PPV,NPV,Time (s),Avg KS Stat,Avg KS p-value,MAE Rank,RMSE Rank,Time (s) Rank,Avg KS Stat Rank,Accuracy Rank,AUC Rank,Sensitivity Rank,Specificity Rank,PPV Rank,NPV Rank,Avg KS p-value Rank,Average Rank
Gemma,0.6978746002632312,1.172349175975301,0.5578382103912206,0.6316983722084273,0.40383886478503156,0.8595578796318232,0.4359911521724933,0.8748557539728564,8424.247317314148,0.2033037797623477,0.1617556078232239,1.0,6.0,7.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.727272727272727
MICE,0.7057800837060486,1.0898231847450262,0.4973624331836264,0.6245298591035254,0.3898139140986114,0.8592458041084399,0.4114086255408027,0.8567440958225089,282.01164960861206,0.11573502374436985,0.47977469456636046,3.0,3.0,5.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,2.909090909090909
SoftImpute,0.7600497805370514,1.0158018939550553,0.48705025647840033,0.6237509645276499,0.38621794530725945,0.86128398374804,0.4388188829569361,0.8557380405455164,0.08327507972717285,0.34361039139138666,0.0014828937183251052,5.0,2.0,1.0,6.0,5.0,4.0,4.0,1.0,1.0,5.0,6.0,3.6363636363636362
MedGemma,0.7034130884279749,1.181777989299614,0.5579252668413491,0.6279747913767318,0.3986774495268673,0.8572721332265965,0.42678917225017404,0.8703034145233801,13517.27625799179,0.28056947226998713,0.12141820191437155,2.0,7.0,8.0,5.0,1.0,2.0,2.0,5.0,3.0,2.0,4.0,3.727272727272727
Longitudinal MICE,0.7094404320932602,1.0948976356538231,0.4953622161535606,0.6221270130714536,0.38605412673402056,0.8581998994088867,0.4066346506629204,0.8558067204405422,291.52046394348145,0.1160144579427313,0.4536601933023624,4.0,4.0,6.0,2.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,4.090909090909091
Bayesian PCA,0.7837428849435771,0.9966253249338277,0.4051683519634204,0.568555652585036,0.2954979860277448,0.8416133191423274,0.37004560260505404,0.840174651123353,6.946703195571899,0.477794083917021,8.437865524330897e-07,6.0,1.0,2.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,5.363636363636363
TimesFM,0.9242775432246563,1.3090323465890839,0.3875047744433324,0.5575089100735483,0.2850100717639913,0.8300077483831054,0.3188314945228098,0.8264233891383184,62.63404059410095,0.18971019318154933,0.10643163535205225,8.0,8.0,4.0,3.0,7.0,7.0,7.0,7.0,7.0,8.0,5.0,6.454545454545454
LSTM,0.913388914337566,1.113201124096181,0.2968821930755661,0.5176784095085586,0.22163391104672056,0.8137229079703967,0.16224741676846427,0.8312845498686025,10.088781118392944,0.5433611852113092,7.341674963165436e-08,7.0,5.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.090909090909091
